Year,Keywords
2018,"Transfer learning, attribute embedding, convolutional neural network, bankruptcy prediction"
2014,"transfer learning, attributes, multiclass classification, incremental learning, generative model"
2013,"transfer learning, behavioural genetics, artificial neural networks, heritability, genetic algorithms"
2018,"Transfer learning, classification"
2018,"Transfer learning, CNN selection, Deep learning"
2013,"Transfer learning, Collaborative filtering, Missing ratings"
2016,"Transfer learning, complex action recognition, relationship matrix"
2015,"Transfer learning, Computational intelligence, Neural network, Bayes, Fuzzy sets and systems, Genetic algorithm"
2015,"Transfer learning, Computer-aided detection system"
2017,"Transfer Learning, Convolutional Neural Network (CNN), Facial Recognition, Humanoid Robot"
2017,"Transfer learning, Convolutional neural network, Manifold learning"
2017,"Transfer learning, cross-domain metric, marginalized denoising"
2018,"Transfer learning, cross-lingual, subgraph isomorphism"
2009,"Transfer Learning, Data Edit, Semi-supervised Learning"
2012,"Transfer learning, dataset selection, distance measures, debt valuation, prediction, supervised learning"
2017,"Transfer learning, Deep convolutional neural networks, EEG signals"
2014,"Transfer Learning, Deep Learning"
2014,"transfer learning, deep learning, artificial neural networks"
2017,"Transfer Learning, Deep Learning, Faster R-CNN, Sequential Monte Carlo Filter (SMC), Pedestrian Detection"
2015,"transfer learning, deep learning, feature extraction"
2015,"transfer learning, deep learning, feature extraction, fuzzy sets"
2017,"Transfer learning, Deep learning, Specialization, Faster R-CNN, Sequential monte carlo filter, Traffic object detection"
2014,"Transfer learning, Deep learning, Stacked auto-encoders"
2017,"Transfer learning, Deep neural networks, Source-target-source, Optimization, Cross-sensor biometrics"
2017,"Transfer learning, Discriminant analysis, Sparsity regularization, Single-sample face recognition"
2014,"Transfer learning, Display advertising, Predictive modeling"
2019,"Transfer learning, distance metric learning, heterogeneous domains, knowledge fragments, nonlinear"
2019,"Transfer learning, Domain adaptation"
2017,"Transfer learning, domain adaptation, distribution adaptation, class imbalance"
2018,"transfer learning, domain adaptation, fuzzy features, machine learning"
2014,"Transfer learning, Domain adaptation, Low-rank constraint, Subspace learning"
2019,"Transfer learning, Domain adaptation, Low-rank representation, Structure preservation, Distribution alignment"
2016,"Transfer learning, Domain adaptation, Neural Decision Forest, Neural network"
2016,"Transfer learning, Domain adaptation, Non-negative matrix factorization"
2014,"Transfer learning, Domain adaptation, Object localization, Fluoroscopy, Ultrasound"
2011,"Transfer learning, domain adaptation, rule discovery"
2016,"Transfer learning, Domain adaptation, Traditional machine learning, Test framework, Distortion profiles"
2017,"Transfer learning, Domain adaptation, Visual object detection, Greedy algorithms, Feature selection"
2016,"Transfer learning, domain adaptation, visualcategorization, heterogeneous data"
2017,"Transfer learning, Domain class imbalance, Traditional machine learning"
2016,"Transfer learning, Domain class imbalance, Traditional machine learning, Class imbalance"
2015,"transfer learning, e-learning, serious game, learning strategies, assessment strategies, structuring knowledge, learning process, learning by level"
2015,"transfer learning, embedded assist-control, human adaptive mechatronics, human-machine interface, skill analysis"
2012,"transfer learning, ensemble learning, machine learning"
2018,"Transfer learning, Ensemble selection, Rank-based ensemble pruning, Rank-based Reduce Error (RankRE) ensemble selection approach, Transfer learning algorithm based on rankRE (RankRE-TL)"
2013,"Transfer learning, Expression recognition, Action unit recognition"
2014,"Transfer learning, Expression recognition, Landmark detection"
2017,"Transfer learning, Extreme learning machine"
2018,"Transfer learning, Facial attribute classification, Multi-label learning, Deep learning, Convolutional neural networks"
2017,"Transfer learning, Fault detection, Distribution change, Kernel adaptation, One class classification"
2019,"Transfer learning, Fault diagnosis, Dictionary learning, Sucker rod pumping systems"
2011,"Transfer Learning, Fuzzy Neural Network, Fuzzy Sets, Long Term Prediction, Bank Failure Prediction"
2018,"Transfer learning, Gaussian mixture models, Learning vector quantization, Expectation maximization, Bionic prostheses"
2013,"Transfer Learning, Gaussian Process, MDLP"
2010,"Transfer learning, Genetic algorithms, Learning to learn"
2009,"Transfer learning, graphical models, student modeling"
2016,"Transfer learning, Hierarchical representation, Attributes, Metric learning, Action similarity"
2017,"Transfer learning, Image classification, Deep learning, Video surveillance, Intrusion detection"
2015,"Transfer learning, Image classification, Kernel sparse coding, Label consistency"
2016,"transfer learning, imbalance, adaptive threshold"
2016,"Transfer learning, Information granules, Text sequence recognition, Type-2 fuzzy set, (Hidden Markov Model) HMM"
2013,"Transfer learning, Instance-based transfer learning, Source data selection, Bagging"
2018,"Transfer learning, Instance-feature knowledge, Co-clustering, Data reconstruction, Relativeness"
2015,"Transfer learning, kernel learning, Nystrom method, text mining, image classification, video recognition"
2017,"Transfer Learning, Kernel, SVM, Maximum Mean Discrepancy"
2017,"transfer learning, keyword spotting, cross lingual, small-footprint"
2017,"transfer learning, knowledge distillation, ensemble, neural network, punctuation prediction"
2017,"Transfer Learning, knowledge transfer, sentiment analysis, Twitter, Yelp reviews"
2019,"Transfer learning, Large-scale, Gaussian process, Aggregation models, Edge intelligence"
2013,"Transfer learning, Latent Dirichlet allocation, Nonparametric Bayesian inference, Sparsity, Small sample size, Topic models"
2016,"Transfer Learning, Linear Transformation, Distribution Matching, Weighted Mean"
2017,"Transfer learning, Long short-term memory, Parameters transfer, Cross-domain sentiment classification"
2015,"Transfer learning, Long text analysis, Short text analysis, Latent semantic analysis"
2017,"transfer learning, machine learning, support vector machine, cancer prediction"
2017,"Transfer learning, Manipulation, Prediction, Robot Learning"
2012,"transfer learning, meta-generalising, multi-task learning, Gaussian processes, mixture of experts"
2017,"Transfer learning, metric learning, density ratio reweighting, Mahalanobis distance, learning framework"
2018,"transfer learning, metric learning, marginalized denoising, low-rank constraint"
2014,"Transfer learning, Missing data, Supported Vector Regression, Knowledge Based"
2017,"Transfer learning, model transfer, random forest, decision tree"
2019,"Transfer learning, multi-domain adaptation, constrained clustering, utility function"
2016,"Transfer Learning, Multi-Source Domain Adaptation, Constraint Clustering"
2012,"Transfer learning, Multi-source learning, Multi-view learning, Adaboost, Supervised learning"
2015,"Transfer learning, Multi-source, Shared subspace of labels"
2013,"Transfer learning, Multi-task learning, Active learning, Statistical learning theory, Bayesian learning, Sample complexity"
2018,"Transfer learning, Multi-task learning, Causality, Domain adaptation, Domain generalization"
2018,"Transfer Learning, Multi-task Learning, Outliers Detection, One Class Classification"
2017,"Transfer Learning, Multi-task Learning, Visual Aesthetic Quality Assessment"
2014,"Transfer learning, Multi-view head pose classification, Varying acquisition conditions, Moving persons"
2014,"Transfer learning, Multi-view learning, Domain distance, View consistency, Support vector machine"
2014,"transfer learning, multi-view learning, multiple data sources"
2011,"transfer learning, multitask learning, regularization"
2018,"Transfer learning, Negative transfer, Class noise detection"
2014,"Transfer learning, negative transfer, graph regularization, matrix factorization, text mining, image classification"
2012,"transfer learning, neural network, feature transfer"
2012,"Transfer learning, Neural networks, Base transfer, Mapping function"
2015,"Transfer learning, node classification, networked data"
2013,"Transfer learning, Non-negative matrix factorization, Sparse regularization, Graph regularization"
2016,"Transfer learning, Non-negative matrix tri-factorization, Multi-bridge, Cross-domain classification"
2016,"Transfer Learning, Non-Negative Matrix Tri-Factorization, Multi-Layer, Cross-domain classification"
2015,"Transfer learning, Non-negative matrix tri-factorization, Quadruple Transfer Learning, Ambiguous concept"
2014,"Transfer learning, Online Fuzzy Min-Max neural network, Noisy data, Data classification"
2014,"Transfer learning, online learning, classification, radial basis function network"
2014,"Transfer learning, Online learning, Knowledge transfer"
2018,"transfer learning, online learning, online transfer learning, homogeneous transfer"
2017,"Transfer learning, Online learning, Online transfer learning, multiple source domains"
2011,"Transfer Learning, Policy Homomorphism, Reinforcement Learning"
2018,"Transfer learning, Recurrent neural network, LSTM network, Relation classification"
2017,"Transfer learning, Regularization, Cervical cancer, Digital colposcopy"
2015,"Transfer learning, Regularization, Electronic health records"
2014,"Transfer learning, reinforcement learning, gaussian processes, continuous states, continuous actions"
2016,"Transfer learning, reinforcement learning, Gaussian processes, prototype generation"
2016,"Transfer learning, Reinforcement learning, Heterogeneous agents, Multi-agent system"
2017,"Transfer Learning, Reinforcement Learning, Linear Multi-variable Mapping, Inter-task Mapping, Keepaway"
2009,"transfer learning, reinforcement learning, multi-task learning"
2018,"Transfer learning, Semi-supervised learning, Concept drift"
2016,"Transfer learning, semi-supervised learning, support vector machine (SVM), confident classifiers, self-paced learning, easy-to-hard, facial action unit (AU) detection"
2011,"Transfer learning, semisupervised learning, text classification"
2014,"Transfer Learning, Sentiment Analysis, Forensic Analysis, Short Text Messages, SMS, Twitter"
2018,"Transfer learning, sharable information, convolutional sparse coding, deep learning, biomedical application, brain tumors, low dose ionizing radiation (LDIR), mouse model, breast cancer subtypes"
2012,"transfer learning, similarity measure, machine learning"
2016,"Transfer learning, sparse coding, discriminative subspace, domain adaptation"
2018,"Transfer learning, Sparse coding, Image representation"
2016,"Transfer learning, Speaker adaptation, Deep neural network, Multi-task learning"
2018,"Transfer learning, Spectral clustering, Co-clustering, Multi-task learning"
2018,"Transfer learning, Subspace learning, Distribution matching, Weighted mean, Travel destination review"
2012,"Transfer learning, Subspace learning, Sparse regularization, MMD, Bregman divergence"
2010,"Transfer learning, Support vector machine, Principal curve"
2010,"Transfer learning, survey, machine learning, data mining"
2016,"Transfer learning, survival analysis, regularization, regression, high-dimensional data"
2010,"transfer learning, task transfer, evolutionary computation, neuroevolution, indirect encoding"
2018,"Transfer learning, test framework, domain adaptation"
2011,"Transfer learning, Text classification, Feature selection, Feature subspace"
2010,"Transfer learning, Topographic subspace model, Sparse representation, Image classification, Image retrieval"
2017,"Transfer learning, Traditional machine learning, Test framework"
2017,"transfer learning, traffic sign recognition, stacked auto-encoder, local coordinate coding, deep learning"
2015,"transfer learning, transfer subspace learning, electro-optical imaging, vehicle recognition, manifold learning"
2015,"Transfer learning, Uncertain data, One-class classification"
2017,"Transfer learning, Unsupervised domain adaptation, Domain invariant clustering, Domain shift, Invariant feature representation"
2017,"Transfer learning, unsupervised domain adaptation, feature weighting, instance clustering, maximum mean discrepancy"
2017,"Transfer learning, Varying-coefficient models, Housing-price prediction, Seismic-hazard models"
2014,"Transfer learning, Wavelet packet decomposition, Short time Fourier transform, Kernel principal component analysis, Electroencephalogram, Epilepsy detection"
2017,"Transfer learning, weight transfer, LF-MMI, multi-task learning, Automatic Speech Recognition"
2014,"Transfer learning, Wiberg algorithm, Collaborative filtering"
2017,"Transfer to rank, behavior ranking, preference learning, collaborative recommendation"
2017,"Unconstrained age estimation, Convolutional Neural Network, Transform learning"
2017,"Unsupervised domain adaptation, optimal transport, transfer learning, visual adaptation, classification"
2016,"Unsupervised domain adaptation, transfer learning, maximum mean discrepancy, Kernel-based feature weighting, feature-label relation"
2017,"Unsupervised learning, Semi-supervised learning, Hierarchical parametric models, Latent variable estimation"
2015,"Unsupervised learning, Transfer learning, Deep learning, Scene categorization, Object detection"
2017,"User Profile, Personalized Recommendation, Transfer Learning"
2018,"Vehicle classification, Convolutional neural network, Resnet152, Support vector machines, Transfer learning"
2012,"Vehicle routing problem, Transfer learning, Genetic algorithms"
2015,"video annotation, transfer learning, heterogenous domain adaptation"
2018,"Video anomaly detection, CNN, Transfer learning, Real-time processing"
2018,"Video emotion recognition, transfer learning, zero-shot learning, summarization"
2014,"video event recognition, transfer learning"
2018,"video summarization, transfer learning, cricket, deep convolutional networks, image classification, inceptionv3, vgg19"
2014,"Visual categorization, Image classification, Human action recognition, Event recognition, Transfer learning, Weakly-supervised dictionary learning"
2018,"Web mining, deep learning, transfer learning"
2019,"Web page categorization, Metric learning, Transfer learning, Deep learning"
2017,"Wind power prediction, Sparse denoising auto-encoders, Meta-regressor, Transfer learning, Meteorological properties"
2018,"Wind power prediction, Transfer learning, Cluster based data, Distribution, Domain adaptation"
2016,"Writer adaptation, Domain adaptation, Handwriting recognition, Transfer learning, Discriminant learning"
2017,"Zero-shot action recognition, Zero-shot learning, Semantic embedding, Semi-supervised learning, Transfer learning, Action recognition"
2017,"Zero-shot learning, Object recognition, Semantic correlation, Manifold structure"
2017,"Zero-shot learning, transfer learning, robust support vector machine (SVM), inductive learning, transductive learning, experiment"
